topicIdx,short,conf,usercode,created,long,version,mode,key,wordNum,duration,randomImage_idx
5,hotel,4,TXAORT0R,2015-03-03T03:10:31,A hotel opened with a bar and restaurant in the city square.,4,topic-in-a-box,4545719029465088,20,212,4
49,Cheese trains,4,O496JNZ5,2015-03-09T03:44:48,Chinese trains going to and from Hong Kong ,4,topic-in-a-box,4546412935118848,5,53,5
13,Police encounter,4,QNL9XO3M,2015-03-04T01:31:47,Description of an event involving murder and police,4,word,4547347358941184,10,53,4
0,Advertisment,1,CXVD4WUI,2015-03-09T04:56:03,Fish oil and its health benefits,4,histogram,4547375544664064,5,36,3
45,"DETROIT,MOTOR VECHICLES",4,P766ZNDU,2015-03-07T10:06:09,"DETROIT,MOTOR VECHICLES",4,histogram,4547614989090816,20,68,5
41,Hussein Govenment Crimes,3,0S798TA9,2015-03-05T20:23:17,Hussein Government crimes against the muslims of Somalllllis included hanging and executions.,4,topic-in-a-box,4547689882583040,10,108,4
0,Smoking,1,47JIW0IX,2015-03-06T04:41:57,Smoking generates heat,4,histogram,4548051733577728,5,23,1
26,Music,5,53D6GU46,2015-03-05T15:25:09,This is a list of terms associated with music. ,4,word,4548352649723904,10,24,5
23,Politician replacement.,3,0Y4Z7X8M,2015-03-03T11:18:33,"A politicain died, we now have to decide who replaces him.",4,word,4548559345025024,5,80,2
3,RELIGION,4,XQIBBSZ8,2015-03-05T06:17:13,DIFFERENT TYPES OF RELIGION,4,topic-in-a-box,4550569389719552,10,30,2
12,"Technology, Computers",4,SB6MNGQQ,2015-03-04T18:59:15,In today's society there are many different types of technologies and companies that help us communicate. ,4,topic-in-a-box,4550620392456192,20,51,2
0,Recipe,4,5LWH9KQA,2015-03-05T16:56:01,How to prepare food.,4,word,4551968743751680,5,32,2
29,errors in advertising,3,L8N8IOCH,2015-03-08T13:49:53,companies that have to issue correction or apologizes for ads.,4,topic-in-a-box,4552587219042304,20,64,4
48,Baseball Team,5,EDVAT7UU,2015-03-03T07:00:02,The baseball team sign players to a contract.,4,wordcloud,4553078724362240,5,19,2
2,High Rated entertainment,4,ZXCTPUG7,2015-03-09T04:06:48,A form of entertainment was reported to do very well,4,topic-in-a-box,4553231464136704,10,60,5
34,Season,3,Q6RDRZK6,2015-03-05T05:12:43,This talks about a new seasons and what changes it brings to the weather,4,histogram,4553728875036672,5,38,5
37,politics,3,WNHE9Q0K,2015-03-05T18:11:29,The words likely describe articles about politics and the representation of different political parties among the senate,4,histogram,4554115690528768,10,76,3
29,false marketing,4,QWJ5XOBI,2015-03-03T14:10:06,This looks like marketing when it goes wrong.,4,topic-in-a-box,4555068904833024,10,51,3
46,Traffic,4,YI474HCL,2015-03-06T07:16:40,Articles talking about a particular traffic situation. ,4,word,4555449009438720,5,45,1
39,fuel,2,PTDHRK3X,2015-03-05T20:17:39,A group of terms related to fuel and its impact on the environment,4,histogram,4555679595495424,10,45,1
36,construction site,4,1JCXMSYY,2015-03-05T15:47:42,I believe this is set to describe the construction process.,4,wordcloud,4556411082113024,10,48,1
1,state government,3,S2QB3R3E,2015-03-03T22:02:57,State's governement view on health care insurance.,4,topic-in-a-box,4556933189074944,10,73,3
35,company's C.E.O.,3,IVNWW8R7,2015-03-05T16:53:48,Name of a companies C.E.O.,4,histogram,4558806331686912,5,194,4
47,Tax money,4,LIYFX0HX,2015-03-06T00:28:00,Bill changes to use tax money,4,histogram,4558988062490624,20,37,1
39,energy,3,TXAORT0R,2015-03-03T03:10:31,Balancing energy needs and market with pollution concerns.,4,topic-in-a-box,4559844908466176,20,539,4
36,Architecture,4,E6GW3S1H,2015-03-05T17:14:01,The words represent architecture in New York.,4,topic-in-a-box,4560408891359232,20,38,2
13,Police homicide,4,U99F1O4Q,2015-03-05T15:22:29,A man was killed by police officers yesterday.,4,wordcloud,4561383312064512,5,71,2
23,passing away,4,TIB67OM7,2015-03-05T17:54:44,death of an employee,4,wordcloud,4561668122083328,20,40,4
0,Smoking Fish,3,HN5XHC42,2015-03-04T14:58:54,When smoking fish add oil to pan before putting it on the heat.,4,histogram,4563523547955200,5,63,4
29,marketing,3,H0HF95VI,2015-03-03T22:41:52,team marketing is key,4,word,4563960292442112,5,10,2
28,war,3,LEYNZ1CC,2015-03-04T04:37:27,how things are settled in times of disagreement with other countires ,4,word,4564119743102976,10,37,5
5,local,3,NXAPM4RC,2015-03-03T08:19:59,"Places to go in a given, occupied area.",4,wordcloud,4565153488044032,20,54,3
21,Public Opinion,2,KYVLF849,2015-03-05T19:00:27,The news is raising a question and it is an issue that has garnered a lot of reports recently.,4,histogram,4565448767045632,10,44,5
19,journalist writes memoir,2,THXL6ZAD,2015-03-09T04:48:28,A journalist writes a new novel about life during war.,4,wordcloud,4566450836602880,20,73,2
24,Best Football Game,5,6O8K20EG,2015-03-05T16:47:37,The bowl game was the best game of the year for the coach. ,4,word,4566666927144960,5,38,2
3,going to church,2,VTFRMW8H,2015-03-05T04:11:44,People of which faith go to church most.,4,histogram,4566960058662912,5,68,1
49,China city,5,R8WV5TQC,2015-03-05T16:45:07,Hong Kong is a big city in China and the main mode of transportation is train.,4,histogram,4568403167674368,5,32,5
19,History book review,4,YI8XD0OR,2015-03-05T15:48:06,You have to review a history book.,4,topic-in-a-box,4569365777219584,5,35,5
38,baseball,2,6QVA7WE2,2015-03-06T00:18:08,This is about a baseball game,4,histogram,4571408571039744,20,64,2
17,Federal case,4,Q6QIRG8B,2015-03-05T18:43:09,A case between two states went to federal court.,4,word,4572114019418112,10,35,2
39,Energy supply,5,QXT22H6W,2015-03-05T15:25:37,Energy supply solutions for the poor,4,histogram,4572851680051200,5,30,5
38,Election,5,8BI3KP4V,2015-03-05T20:46:39,A vote of the people to select a candidate for a political position.,4,word,4573469618470912,10,67,3
39,Global Problems,3,LPCF11IS,2015-03-05T21:49:25,These are global Necessities and their possible problems.,4,topic-in-a-box,4576150214934528,20,47,4
37,presidential election,3,64RW0M42,2015-03-05T18:19:30,democrats and republicans ready fro presidential election,4,wordcloud,4577302876782592,10,48,4
8,Inflation,4,KQD63N0X,2015-03-08T04:56:28,"Economic trends in the US, in dollars and percentages.",4,topic-in-a-box,4579861066678272,20,128,1
14,healthcare,4,J9XOZHHE,2015-03-03T02:49:01,These words have to do with health care industry.,4,word,4580495648096256,10,20,5
9,Olympic Winter Games,3,BI0R04SY,2015-03-05T20:25:41,Athletes from the United States participating in the winter Olympic games.,4,topic-in-a-box,4580711470202880,10,46,2
8,money,1,7SVW7JI0,2015-03-06T15:41:10,stock market concepts,4,topic-in-a-box,4581597307207680,5,32,1
1,National health care ,3,O496JNZ5,2015-03-09T03:44:49,Eliot Spitzer is talking about healthcare issued through the government ,4,topic-in-a-box,4582128272539648,5,40,5
0,Healthcare,3,T0OC8ISM,2015-03-03T07:22:32,Negative effects of certain foods and habits.,4,histogram,4582531731030016,20,51,4
10,Security and Airports ,5,4IY3MCF8,2015-03-06T14:52:31,"This is a article on air travel, and the international security, of all airports.",4,topic-in-a-box,4582559916752896,5,100,2
17,Court Case,5,6GLJACV6,2015-03-06T03:33:00,"Federal Judge passes a state law in court,",4,wordcloud,4582799361179648,10,46,2
22,nuclear family,3,NT5E0SLX,2015-03-05T17:26:35,a look at the deterioration of the nuclear family in past decades,4,wordcloud,4582874254671872,5,51,1
42,Death,5,XZQKZPM9,2015-03-05T20:32:51,A funeral for someone,4,histogram,4583236105666560,10,11,4
35,Stocks,4,52Y4FQBN,2015-03-03T06:37:41,The article is talking about investing in different things and how much it costs.,4,word,4583743717113856,20,23,4
46,Areas of art,3,U3SI0KCY,2015-03-04T14:13:05,On the main street is the Art museum and theater arts center.,4,histogram,4584542044160000,10,68,2
3,Religions ,3,S41WUGX5,2015-03-09T05:15:42,Religions and aspects of religion connect. ,4,histogram,4585194610753536,10,27,5
13,police officers killed,4,67ZE0XEK,2015-03-03T23:58:23,"Yesterday, at least two police officers were killed by a man.",4,word,4585753761808384,5,78,3
45,New car designs,3,BLOO3H6B,2015-03-03T22:09:41,Ford and Toyota are coming out with new vehicle an dmotor designs. ,4,word,4585804764545024,10,79,5
2,entertaniment,3,HMI8SN20,2015-03-09T02:01:22,review of different tv shows,4,histogram,4586797170425856,10,21,4
6,Iraq war,5,80YFMIS0,2015-03-05T15:40:42,President Bush authorized the war in Iraq.,4,wordcloud,4587153115840512,20,42,3
19,biography,4,FG3174NE,2015-03-04T04:24:33,stories of people's lives,4,word,4587454568857600,5,66,4
36,New York buildings,4,ZX8X6WLX,2015-03-06T01:33:15,New buildings/parks/public spaces are being created in New York state.,4,histogram,4587771591131136,20,54,5
8,Finances ,3,AOZ8CI4S,2015-03-04T18:47:07,"There are many different aspects to finances that can affect percentages, prices, sales, growth rates etc. in businesses. ",4,word,4588028215427072,20,39,4
25,Education System,3,R6G55YKI,2015-03-06T03:58:13,The hierarchy of learning has many different paths.,4,word,4588652596297728,10,86,4
29,How stores use advertising.,3,V0HKVJ5K,2015-03-05T16:51:21,An article about how stores advertise.,4,topic-in-a-box,4589300062617600,5,17,4
14,New Medical Research,3,HN5XHC42,2015-03-04T14:58:54,Their is a new health drug on the markeet that is still under research.,4,histogram,4589902163345408,5,54,4
12,Internet Service,4,81TJQOTO,2015-03-03T07:03:29,Various aspects of computers and the internet and websites. ,4,histogram,4590253276921856,20,16,5
13,Police officer killed,4,1A9E6DAS,2015-03-05T19:33:22,A possible killing of a police officer and the man charged with the crime.,4,wordcloud,4590633381527552,20,42,1
47,Taxes,4,CFDWBOIH,2015-03-05T17:30:23,Federal taxes are used to fund the USA government.,4,wordcloud,4590863967584256,10,104,3
42,death,2,9KJP0Q18,2015-03-06T15:32:09,dead and living,4,topic-in-a-box,4591155488489472,20,78,4
5,hotels restaurants bars,5,7QW96N2L,2015-03-04T16:34:41,These hotels in these cities have restaurants that also have bars,4,histogram,4591779332489216,5,122,5
35,executive company,4,EDVAT7UU,2015-03-03T07:00:02,The chief executive of a company.,4,wordcloud,4592117561163776,5,26,2
16,agine,4,K6GGSQJ2,2015-03-04T04:34:36,"As a person ages, it is necessary to reach out to family.",4,word,4592959911624704,10,38,2
38,tennis match,3,4ONCDX8J,2015-03-05T16:01:04,something regarding a tennis match with one of the williams' sisters ,4,wordcloud,4593990703775744,20,59,2
3,Religion,2,9HKADCYE,2015-03-04T17:59:58,Many reigions gather at a church.,4,wordcloud,4594784735854592,5,137,5
40,Sports,4,42SQBWT9,2015-03-05T15:36:21,Nba teams and games.,4,wordcloud,4595593263448064,10,197,3
4,NYC lifestyle,2,NZPDJ9KZ,2015-03-03T08:22:40,There's a lot to do in NYC neighborhoods at night. ,4,histogram,4596227844866048,20,64,4
28,iran's nuclear program,4,4QLNUSD7,2015-03-05T16:00:55,"This is concerning Iran's want of a nuclear program, and the world's reaction to it.",4,histogram,4596852494172160,20,101,3
48,sports,4,UOBH1LIM,2015-03-03T23:28:04,The concept is to describe sports events dealing with players and contracts.,4,word,4598707920044032,20,35,3
0,uses of bowls,3,MWVNVOAK,2015-03-03T03:58:27,Bowls can be used in many different ways by many animals and humans.,4,topic-in-a-box,4600337860132864,20,69,3
22,Traditional Family is Gone,4,ZXX9UN5B,2015-03-05T16:50:02,Not all families have a mother and father anymore.,4,histogram,4600633139134464,20,25,1
1,Obama,5,N6ZYJC08,2015-03-06T12:13:51,President Obama's health care initive has caused much public debate.,4,histogram,4601129207857152,20,50,2
3,religion,3,8N3NQRBZ,2015-03-07T23:45:03,things and history of relgion,4,topic-in-a-box,4601635208691712,20,18,2
41,Terrorist executions ,4,3GJVJVNL,2015-03-04T06:12:40,The government's response to the terrorist group executions. ,4,word,4602144430751744,10,217,4
31,Restaurants,4,MYR394F4,2015-03-05T15:28:09,The concept is restaurant reviews and recommendations.,4,histogram,4603587539763200,10,56,2
49,International affairs,2,PFD8TZJV,2015-03-06T02:00:53,Discussed transportation with foreign affairs,4,histogram,4605577720233984,20,18,5
5,hotel city restaurant ,3,KMO5XJN8,2015-03-05T16:35:28,a travel guide for out of town visitors  ,4,word,4607298391506944,5,52,4
1,Government Healthcare,2,BEMST3JB,2015-03-09T04:19:47,The state of heathcare and our government.,4,topic-in-a-box,4608456153628672,10,24,4
18,Minor league coaches ,4,80YFMIS0,2015-03-05T15:40:41,A minor league coach moved from California teams to Chicago.,4,wordcloud,4608467159482368,20,141,3
45,car sale ,4,ZDGCTDRI,2015-03-05T18:10:27,a place to buy cars,4,wordcloud,4608653990559744,10,13,3
18,Major League Roster.,4,JWB4HWGZ,2015-03-03T13:30:26,It looks like a MLB roster for the Los Angeles and San Francisco teams.,4,histogram,4610526059429888,20,70,1
31,eating out,4,TMJGH57G,2015-03-03T06:59:30,Finding places to eat,4,word,4610552097669120,5,24,5
33,tenure,3,RSXH7DXT,2015-03-09T02:21:12,the idea that people do better with others the longer they are in a place,4,wordcloud,4611334587023360,10,43,5
36,City,5,7LC902HF,2015-03-03T05:09:32,Urban Landscape. This describes the various structures found in a city.,4,word,4612376921899008,5,39,5
31,Restaurant,5,EENMHJ14,2015-03-08T06:52:25,Going to a restaurant and looking at the foods on the menu.,4,topic-in-a-box,4612487248871424,20,48,3
14,medical research,3,GP0C6W57,2015-03-03T04:44:46,The doctors were pleased that the medical research had such a positive outcome.,4,wordcloud,4616300106088448,5,148,1
0,Nutrition,3,YBTJF7IC,2015-03-06T12:53:49,This article deals with healthy eating and nutrition,4,histogram,4618058626760704,10,13,4
43,People,4,4RDM8YJJ,2015-03-03T06:22:15,"Different types of people: women, children, men.",4,word,4619736616796160,5,23,3
29,advertising marketing stores,3,Y6Y9NM4B,2015-03-03T12:23:18,It is about how stores use advertising and marketing.,4,histogram,4620283688255488,10,46,3
3,religious news,3,XTEAEBTL,2015-03-09T02:09:30,article about different religions,4,word,4621598216683520,20,43,3
16,Work,4,UWIICJKG,2015-03-05T18:40:45,Worked many years at a job. ,4,topic-in-a-box,4622337487929344,5,41,5
26,The Music Industry,2,E0W6UNPD,2015-03-05T15:50:34,How the music industry is going in a new direction.,4,topic-in-a-box,4623169906278400,5,20,2
15,Oscars,3,5P3JFI9A,2015-03-06T00:12:00,The results from the Oscars,4,histogram,4626048339673088,5,35,1
7,estates,3,PTT44CO3,2015-03-05T15:15:45,there are a number of houses on estates sales.,4,wordcloud,4626246176604160,5,25,4
28,US nuclear policy,4,F0UTO7VZ,2015-03-03T12:31:24,The article is about the United States world policy on nuclear power.,4,word,4626555951120384,5,83,1
49,china vacation,4,NXAPM4RC,2015-03-03T08:19:59,Things to do with travel to China.,4,wordcloud,4628522509271040,20,38,3
10,airport security,4,QELMY38C,2015-03-05T21:17:57,This would seem to be about airport security when travelling.,4,wordcloud,4629175075864576,5,30,5
43,Family,3,2UZC5AX4,2015-03-08T02:42:44,The words describe all aspects of family.,4,wordcloud,4629356806668288,20,40,5
21,interview,4,TXAORT0R,2015-03-03T03:10:31, What did Libby say in the interview?,4,topic-in-a-box,4629734226919424,20,145,4
16,Retirement,3,TGJUXDFS,2015-03-03T08:40:51,Work a long time to retire. ,4,wordcloud,4630213652643840,10,23,3
26,music,3,X0LVROEL,2015-03-05T15:00:53,Discussing different forms of music.,4,topic-in-a-box,4630394309705728,20,20,2
47,Tax Rates ,5,DBVLCM6C,2015-03-05T18:52:53,The governments implementation of tax rates. ,4,wordcloud,4630777635536896,5,29,2
5,Events,3,Y3KXIM0U,2015-03-05T16:59:04,An article about the events happening in a town. ,4,word,4631752056242176,20,20,1
28,foreign relations,5,S0YOA6G4,2015-03-03T07:12:50,"it mentions the US and foreign countries such as iran, europe it also mentions international and world and links those to the US through words lime economy and trade",4,word,4632008680538112,20,116,1
2,Televesion,4,9FLM118S,2015-03-05T22:12:42,These are all aspects of television. ,4,histogram,4632036866260992,10,25,4
37,Politics,4,52Y4FQBN,2015-03-03T06:37:41,The article is describing the difference in politics.,4,word,4632893712236544,20,35,4
25,school,3,2SGV802I,2015-03-03T06:57:57,the school system,4,word,4633882628456448,20,15,2
5,Nightlife,4,01ULMW4M,2015-03-04T22:19:56,An elaboration on good places to go out for the night,4,word,4634329036619776,10,38,2
3,RELIGION,3,YCJWZ3NA,2015-03-04T02:26:32,THE CONCEPT OF DIFFERENT RELIGIONS AND HOW THEY ARE PRACTICED,4,word,4635522232221696,20,37,2
28,Politics,3,IOD6RTAL,2015-03-06T04:17:29,The U.S deals with other countries more than Europe does,4,topic-in-a-box,4635817511223296,20,101,3
42,Tragic Accident,3,ANCV08H5,2015-03-05T18:59:12,A tragic accident happened to a family and 2 people died and 1 survived.,4,histogram,4637035671322624,20,118,4
39,Global Fuels,3,LACRS15S,2015-03-05T16:30:14,Need to created more environmental power,4,topic-in-a-box,4637886074847232,10,45,3
30,Middle Eastern affairs,5,GD3JVK0U,2015-03-05T21:10:53,These words represent articles that talk about our affairs in the Middle East.,4,wordcloud,4639302877184000,10,39,2
8,Economical ,4,YRQIYDAE,2015-03-05T17:23:13,This concept is of economical marketing and sales terms. ,4,word,4639734521397248,5,25,1
45,Michigan,5,GP7A05I1,2015-03-05T15:12:18,The Michigan based Auto company.,4,word,4641074551193600,5,39,3
46,Night life,4,K3MFR5JJ,2015-03-09T01:40:23,These are from articles discussing local entertainment.,4,word,4641777315217408,20,24,4
44,Work,1,PLVEC1VC,2015-03-06T00:43:17,work,4,topic-in-a-box,4642482763595776,5,15,1
3,Religion,4,Z5OGKEL3,2015-03-05T17:08:39,Something regarding the interplay between jews and christians.,4,histogram,4643220424228864,10,21,2
38,sports team,4,838TLL03,2015-03-05T20:15:21,These are all words associated with a sports team playing.,4,topic-in-a-box,4643651531571200,20,22,5
16,Employment rate,3,R7IY0SC3,2015-03-06T12:55:28,This concept is about employment rate,4,topic-in-a-box,4643838362648576,20,16,1
34,Seasons and nature,4,U09UZ41F,2015-03-07T13:06:26,Aspects of weather on our natural resources.,4,topic-in-a-box,4645300799012864,20,64,1
2,televised newscast,5,F1ID6CVI,2015-03-09T03:11:24,A report of current events on the television.,4,wordcloud,4645816195088384,20,32,3
25,Education,4,R1190JTP,2015-03-05T20:31:12,Concept is about education at all levels.,4,histogram,4646518959112192,20,33,4
31,Restaurant reviews,4,DOBPQPOE,2015-03-05T17:42:23,Restaurant reviews give people an idea what the dining experience will be like at a certain place.,4,topic-in-a-box,4647671620960256,10,87,4
25,College,4,0Y4Z7X8M,2015-03-03T11:18:32,This is an article about college.,4,word,4647978174251008,5,60,2
18,california sports contracts,3,R7F8NL9U,2015-03-06T13:22:40,the contracts of the coaches for teams in california,4,histogram,4650229810855936,10,35,5
25,"Education, School, College",4,C1VDG6IC,2015-03-05T18:19:48,Things having to do with receiving an education,4,wordcloud,4651080214380544,20,50,3
10,Airport Travel,5,6GLJACV6,2015-03-06T03:33:00,Arriving at the airport we can expect to see international travelers. ,4,wordcloud,4651966051385344,10,87,2
11,self image,3,WBOPPR3M,2015-03-08T05:31:14,You have to love what you've got and not care what people think. ,4,wordcloud,4652497016717312,20,318,1
4,Street signs.,4,CW1K8GI6,2015-03-03T06:12:59,Signs that represent a certain street.,4,wordcloud,4652900475207680,5,20,3
24,Super Bowl,3,JUA4S4L0,2015-03-06T03:48:30,A super bowl game is going to be this week.,4,wordcloud,4652928660930560,10,24,2
13,officer-involved shootings,3,GD3JVK0U,2015-03-05T21:10:53,These words are from articles discussing incidents where police have killed someone or someone has killed a cop.,4,wordcloud,4653168105357312,10,53,2
